Periode,Inflasi
1/31/2019,0.32
2/28/2019,-0.08
3/31/2019,0.11
4/30/2019,0.44
5/31/2019,0.68
6/30/2019,0.55
7/31/2019,0.31
8/31/2019,0.12
9/30/2019,-0.27
10/31/2019,0.02
11/30/2019,0.14
12/31/2019,0.34
1/31/2020,0.39
2/29/2020,0.28
3/31/2020,0.1
4/30/2020,0.08
5/31/2020,0.07
6/30/2020,0.18
7/31/2020,0.04
8/31/2020,0.05
9/30/2020,0.05
10/31/2020,0.07
11/30/2020,0.28
12/31/2020,0.45
1/31/2021,0.26
2/28/2021,0.1
3/31/2021,0.08
4/30/2021,0.13
5/31/2021,0.32
6/30/2021,0.16
7/31/2021,0.08
8/31/2021,0.03
9/30/2021,0.04
10/31/2021,0.12
11/30/2021,0.37
12/31/2021,0.57
1/31/2022,0.56
2/28/2022,0.54
3/31/2022,0.66
4/30/2022,0.95
5/31/2022,0.4
6/30/2022,0.6
7/31/2022,0.64
8/31/2022,0.21
9/30/2022,1.17
10/31/2022,0.11
11/30/2022,0.09
