Periode;Inflasi
31/01/2012;0.76
29/02/2012;0.05
31/03/2012;0.07
30/04/2012;0.21
31/05/2012;0.07
30/06/2012;0.62
31/07/2012;0.70
31/08/2012;0.95
30/09/2012;0.01
31/10/2012;0.16
30/11/2012;0.07
31/12/2012;0.54
31/01/2013;1.03
28/02/2013;0.75
31/03/2013;0.63
30/04/2013;-0.10
31/05/2013;-0.03
30/06/2013;1.03
31/07/2013;3.29
31/08/2013;1.12
30/09/2013;-0.35
31/10/2013;0.09
30/11/2013;0.12
31/12/2013;0.55
31/01/2014;1.07
28/02/2014;0.26
31/03/2014;0.08
30/04/2014;-0.02
31/05/2014;0.16
30/06/2014;0.43
31/07/2014;0.93
31/08/2014;0.47
30/09/2014;0.27
31/10/2014;0.47
30/11/2014;1.50
31/12/2014;2.46
31/01/2015;-0.24
28/02/2015;-0.36
31/03/2015;0.17
30/04/2015;0.36
31/05/2015;0.50
30/06/2015;0.54
31/07/2015;0.93
31/08/2015;0.39
30/09/2015;-0.05
31/10/2015;-0.08
30/11/2015;0.21
31/12/2015;0.96
31/01/2016;0.51
29/02/2016;-0.09
31/03/2016;0.19
30/04/2016;-0.45
31/05/2016;0.24
30/06/2016;0.66
31/07/2016;0.69
31/08/2016;-0.02
30/09/2016;0.22
31/10/2016;0.14
30/11/2016;0.47
31/12/2016;0.42
31/01/2017;0.97
28/02/2017;0.23
31/03/2017;-0.02
30/04/2017;0.09
31/05/2017;0.39
30/06/2017;0.69
31/07/2017;0.22
31/08/2017;-0.07
30/09/2017;0.13
31/10/2017;0.01
30/11/2017;0.20
31/12/2017;0.71
31/01/2018;0.62
28/02/2018;0.17
31/03/2018;0.20
30/04/2018;0.10
31/05/2018;0.21
30/06/2018;0.59
31/07/2018;0.28
31/08/2018;-0.05
30/09/2018;-0.18
31/10/2018;0.28
30/11/2018;0.27
31/12/2018;0.62
31/01/2019;0.32
28/02/2019;-0.08
31/03/2019;0.11
30/04/2019;0.44
31/05/2019;0.68
30/06/2019;0.55
31/07/2019;0.31
31/08/2019;0.12
30/09/2019;-0.27
31/10/2019;0.02
30/11/2019;0.14
31/12/2019;0.34
31/01/2020;0.39
29/02/2020;0.28
31/03/2020;0.1
30/04/2020;0.08
31/05/2020;0.07
30/06/2020;0.18
31/07/2020;0.04
31/08/2020;0.05
30/09/2020;0.05
31/10/2020;0.07
30/11/2020;0.28
31/12/2020;0.45
31/01/2021;0.26
28/02/2021;0.1
31/03/2021;0.08
30/04/2021;0.13
31/05/2021;0.32
30/06/2021;0.16
31/07/2021;0.08
31/08/2021;0.03
30/09/2021;0.04
31/10/2021;0.12
30/11/2021;0.37
31/12/2021;0.57
31/01/2022;0.56
28/02/2022;0.54
31/03/2022;0.66
30/04/2022;0.95
31/05/2022;0.4
30/06/2022;0.6
31/07/2022;0.64
31/08/2022;0.21
30/09/2022;1.17
31/10/2022;0.11
30/11/2022;0.09
;
